QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;Matemática e estatística;;;
10;Ciência e tecnologia dos materiais;;;
11;Ciência e tecnologia dos materiais;Mecânica dos sólidos;;
12;Administração;Projeto e segurança de processos;;
13;Química;;;
14;Química;Balanços de massa e energia;;
15;Economia;Projeto e segurança de processos;;
16;Engenharia de bioprocessos;Engenharia das reações químicas;;
17;Balanços de massa e energia;;;
18;Matemática e estatística;Transferência de quantidade de movimento, calor e massa;;
19;Engenharia das reações químicas;;;
20;Engenharia das reações químicas;;;
21;Engenharia de bioprocessos;;;
22;Engenharia de meio ambiente;Operações unitárias de transferência de quantidade de movimento, calor e massa;;
23;Modelagem, simulação, otimização e controle de processos;;;
24;Modelagem, simulação, otimização e controle de processos;Operações unitárias de transferência de quantidade de movimento, calor e massa;;
25;Projeto e segurança de processos;;;
26;Operações unitárias de transferência de quantidade de movimento, calor e massa;;;
27;Química;Termodinâmica;;
28;Termodinâmica;;;
29;Operações unitárias de transferência de quantidade de movimento, calor e massa;Termodinâmica;;
30;Balanços de massa e energia;;;
31;Transferência de quantidade de movimento, calor e massa;;;
32;Termodinâmica;;;
33;Transferência de quantidade de movimento, calor e massa;;;
34;Engenharia das reações químicas;;;
35;Engenharia das reações químicas;Engenharia de bioprocessos;;
