QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;"Teoria e História da Arquitetura, do Urbanismo e do 
Paisagismo";Sustentabilidade;Mobilidade e Acessibilidade;
10;Gestão e Coordenação de Obras;Sustentabilidade;;
11;Sustentabilidade;Projeto de Arquitetura;;
12;Planejamento Urbano e Regional;Estudos sociais, econômicos e ambientais;;
13;Gestão e Coordenação de Projetos;;;
14;Estudos sociais, econômicos e ambientais;Projeto de Urbanismo e de Paisagismo;;
15;Estudos sociais, econômicos e ambientais;Projeto de Urbanismo e de Paisagismo;;
16;Projeto de Urbanismo e de Paisagismo;Políticas públicas e habitacionais;;
17;Projeto de Urbanismo e de Paisagismo;Infraestrutura urbana;;
18;Projeto de Arquitetura;Conforto Ambiental;;
19;Projeto de Urbanismo e de Paisagismo;Infraestrutura urbana;;
20;Projeto de Urbanismo e de Paisagismo;Topografia;;
21;Estética e História das Artes;Projeto de Arquitetura;;
22;Projeto de Arquitetura;Tecnologia da Construção;;
23;Projeto de Arquitetura;Tecnologia da Construção;;
24;Projeto de Urbanismo e de Paisagismo;Conforto Ambiental;;
25;Sustentabilidade;Tecnologia da Construção;;
26;"Teoria e História da Arquitetura, do Urbanismo e do 
Paisagismo";Sistemas Estruturais;;
27;Projeto de Arquitetura;Teoria e História da Arquitetura, do Urbanismo e do Paisagismo;;
28;Estudos sociais, econômicos e ambientais;Projeto de Urbanismo e de Paisagismo;Teoria e História da Arquitetura, do Urbanismo e do Paisagismo;
29;Desenho e Meios de Representação e Expressão;Projeto de Arquitetura;;
30;Planejamento Urbano e Regional;Políticas públicas e habitacionais;;
31;Tecnologia da construção;Projeto de Arquitetura;;
32;Projeto de Arquitetura;Tecnologia da Construção;;
33;Projeto de Arquitetura;Sistemas Estruturais;;
34;Projeto de Arquitetura;Técnicas Retrospectivas;;
35;Teoria e História da Arquitetura, do Urbanismo e do Paisagismo;Projeto de Arquitetura;;
