QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;Operações Unitárias;;;
10;Fenômenos de Transporte;;;
11;Físico-química e Termodinâmica aplicada;Química e Bioquímica de Alimentos;;
12;Bioengenharia e Biotecnologia de Alimentos;Química e Bioquímica de Alimentos;;
13;Operações Unitárias;;;
14;Química e Bioquímica de Alimentos;;;
15;Tecnologia de alimentos de origem animal e vegetal;;;
16;Operações Unitárias;Tecnologias limpas e novas tecnologias;;
17;Estatística;Análise Sensorial;;
18;Química e Bioquímica de Alimentos;Operações Unitárias;;
19;Físico-química de alimentos e Termodinâmica Aplicada;;;
20;Mecânica dos Sólidos;Embalagens;;
21;Instrumentação;Controle e Automação;;
22;Eletricidade Aplicada;;;
23;Operações Unitárias;Processos de Conservação;;
24;Gestão e controle de qualidade;Processos de Conservação;Tecnologias limpas e novas tecnologias;
25;Tecnologias limpas e novas tecnologias;Tratamento de Resíduos da Indústria de Alimento;;
26;Processos de Conservação;Tecnologias limpas e novas tecnologias;;
27;Tecnologias limpas e novas tecnologias;Tratamento de Resíduos da Indústria de Alimento;;
28;Embalagens;;;
29;Projetos de Indústrias de Alimentos;;;
30;Química analítica e instrumental;;;
31;Gestão e Controle de Qualidade;;;
32;Higiene na Indústria de Alimentos;;;
33;Estatística;Gestão e Controle de Qualidade;;
34;Gestão e Controle de Qualidade;Microbiologia de Alimentos;;
35;Operações Unitárias;Processos de Conservação;;
