QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;Planejamento e gestão ambiental nos setores público e privado;Gestão de recursos hídricos;;
10;Modelagem de sistemas ambientais;Poluição ambiental: sonora, do solo, do ar e da água;;
11;Saúde ambiental;Poluição ambiental: sonora, do solo, do ar e da água;;
12;Planejamento e gestão ambiental nos setores público e privado;Saúde e segurança do trabalhador;;
13;Avaliação de impactos ambientais;Energia e fontes renováveis;;
14;Avaliação de impactos ambientais;Resíduos sólidos;;
15;Climatologia e meteorologia;;;
16;Poluição ambiental: sonora, do solo, do ar e da água;Planejamento e gestão dos territórios urbano, rural e das unidades de conservação;;
17;Geologia e geotecnia ambiental;Resíduos sólidos;;
18;Saúde e segurança do trabalhador;Resíduos sólidos;;
19;Cartografia e geoprocessamento;Gestão de recursos hídricos;;
20;Gestão de recursos hídricos;Hidrologia;;
21;Hidráulica;Sistemas de abastecimento de águas;;
22;Hidrologia;;;
23;Ecologia e microbiologia aplicadas;Poluição ambiental: sonora, do solo, do ar e da água;;
24;Planejamento e gestão dos territórios urbano, rural e das unidades de conservação;Energia e fontes renováveis;;
25;Planejamento e gestão dos territórios urbano, rural e das unidades de conservação;;;
26;Recuperação e remediação de áreas degradadas;;;
27;Sistemas de abastecimento de águas;;;
28;Resíduos sólidos;Saúde ambiental;;
29;Sistemas de coleta e tratamento de efluentes;;;
30;Manejo de águas pluviais;;;
31;Sistemas de coleta e tratamento de efluentes;Energia e fontes renováveis;;
32;Poluição ambiental: sonora, do solo, do ar e da água;;;
33;Poluição ambiental: sonora, do solo, do ar e da água;Planejamento e gestão dos territórios urbano, rural e das unidades de conservação;;
34;Ecologia e microbiologia aplicadas;Sistemas de coleta e tratamento de efluentes;;
35;Hidráulica;;;
