QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;Expressão gráfica;;;
10;Materiais de construção mecânica;;;
11;Metrologia;;;
12;Mecânica dos fluidos e sistemas fluidomecânicos;;;
13;Transferência de calor e massa;;;
14;Mecânica geral e mecânica dos sólidos;;;
15;Modelagem matemática e simulação computacional;Mecânica dos fluidos e sistemas fluidomecânicos;;
16;Mecânica geral e mecânica dos sólidos;;;
17;Modelagem matemática e simulação computacional;;;
18;Química;;;
19;Ciências do ambiente;;;
20;Termodinâmica e sistemas térmicos;;;
21;Economia;Processos de fabricação;;
22;Projeto de máquinas e de sistemas mecânicos;;;
23;Matemática e Estatística;;;
24;Dinâmica de sistemas mecânicos;;;
25;Materiais de construção mecânica;;;
26;Mecânica dos fluidos e sistemas fluidomecânicos;;;
27;Transferência de calor e massa;;;
28;Processos de fabricação;;;
29;Programação, instrumentação e controle;;;
30;Manutenção;;;
31;Programação, instrumentação e controle;;;
32;Gestão de produção e de projetos;;;
33;Eletricidade;;;
34;Gestão de produção e de projetos;;;
35;Projeto de máquinas e de sistemas mecânicos;;;
