QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;Clínica Médica;;;
10;Cirurgia;;;
11;Urgência e Emergência;Saúde Mental;;
12;Cirurgia;Urgência e Emergência;;
13;Clínica Médica;Medicina de Família e Comunidade;;
14;Clínica Médica;Pediatria;Medicina de Família e Comunidade;
15;Pediatria;;;
16;Ginecologia e Obstetrícia;Pediatria;;
17;Clínica Médica;;;
18;Saúde Mental;;;
19;Clínica Médica;;;
20;Saúde Mental;;;
21;Clínica Médica;Pediatria;Urgência e Emergência;
22;Cirurgia;;;
23;Clínica Médica;Medicina de Família e Comunidade;;
24;Medicina de Família e Comunidade;;;
25;Urgência e Emergência;;;
26;Cirurgia;;;
27;Ginecologia e Obstetrícia;Medicina de Família e Comunidade;;
28;Ginecologia e Obstetrícia;Medicina de Família e Comunidade;;
29;Clínica Médica;Urgência e Emergência;;
30;Medicina de Família e Comunidade;;;
31;Clínica Médica;Medicina de Família e Comunidade;;
32;Clínica Médica;Medicina de Família e Comunidade;;
33;Pediatria;Medicina de Família e Comunidade;Saúde Coletiva;
34;Saúde Coletiva;;;
35;Saúde Coletiva;;;
