QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;Fitossanidade;;;True
10;Fitotecnia;;;True
11;Economia, Administração e Extensão Rural;Tecnologia de Produtos Agropecuários;;True
12;Economia, Administração e Extensão Rural;;;False
13;Ecologia e Manejo Ambiental;Fitossanidade;;True
14;Engenharia Rural;;;True
15;Tecnologia de Produtos Agropecuários;;;True
16;Legislação Aplicada;;;True
17;Fitotecnia;;;False
18;Silvicultura;Zootecnia;;True
19;Economia, Administração e Extensão Rural;Fitotecnia;;True
20;Fitotecnia;Silvicultura;;True
21;Metodologia Científica e Experimentação Agrícola;Solos;;False
22;Solos;Fitossanidade;;True
23;Ecologia e Manejo Ambiental;Tecnologia de Produtos Agropecuários;;True
24;Ecologia e Manejo Ambiental;;;True
25;Engenharia Rural;;;True
26;Solos;Fitotecnia;;True
27;Fitotecnia;Genética e Melhoramento de Plantas;;True
28;Fitotecnia;Engenharia Rural;;True
29;Economia, Administração e Extensão Rural;;;True
30;Ecologia e Manejo Ambiental;Legislação Aplicada;;True
31;Fitotecnia;;;True
32;Genética e Melhoramento de Plantas;Ética e Legislação Profissional;;True
33;Ecologia e Manejo Ambiental;;;True
34;Engenharia Rural;;;True
35;Fitossanidade;Ecologia e Manejo Ambiental;;True
