QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;Farmácia Homeopática;Legislação sanitária e profissional;;False
10;Ciências exatas aplicadas às ciências farmacêuticas;Análises toxicológicas e ambientais;Controle e garantia da qualidade;True
11;Farmacognosia e fitoterapia;Legislação sanitária e profissional;;True
12;Farmacognosia e fitoterapia;Legislação sanitária e profissional;Controle e garantia da qualidade;False
13;Análises toxicológicas e ambientais;;;True
14;Ciências biológicas aplicadas às ciências farmacêuticas;Bromatologia e tecnologia de alimentos;;False
15;Farmácia magistral alopática;;;True
16;Saúde pública, epidemiologia e educação em saúde;Segurança do paciente e biossegurança;Farmacoepidemiologia;True
17;Saúde pública, epidemiologia e educação em saúde;Gestão farmacêutica;;False
18;Química farmacêutica e medicinal;;;False
19;Saúde pública, epidemiologia e educação em saúde;Gestão farmacêutica;Farmacoeconomia;True
20;Processos fisiopatológicos e bioquímicos;Análises clínicas;;True
21;Processos fisiopatológicos e bioquímicos;Farmacologia;;True
22;Segurança do paciente e biossegurança;Farmácia hospitalar e clínica;;True
23;Farmácia magistral alopática;Tecnologia, desenvolvimento e produção de medicamentos e outros produtos para saúde;;True
24;Segurança do paciente e biossegurança;Farmacologia;;False
25;Processos fisiopatológicos e bioquímicos;Análises clínicas;;True
26;Análises clínicas;Ciências biológicas aplicadas às ciências farmacêuticas;Processos fisiopatológicos e bioquímicos;True
27;Tecnologia, desenvolvimento e produção de medicamentos e outros produtos para saúde;;;True
28;Legislação sanitária e profissional;;;True
29;Análises clínicas;Ciências biológicas aplicadas às ciências farmacêuticas;Processos fisiopatológicos e bioquímicos;True
30;Ciências exatas aplicadas às ciências farmacêuticas;Farmacoeconomia;;False
31;Farmacovigilância;Segurança do paciente e biossegurança;;False
32;Assistência e serviços farmacêuticos;Segurança do paciente e biossegurança;;True
33;Ciências biológicas aplicadas às ciências farmacêuticas;Tecnologia, desenvolvimento e produção de medicamentos e outros produtos para saúde;;True
34;Análises clínicas;Farmacologia;;True
35;Saúde pública, epidemiologia e educação em saúde;Ciências biológicas aplicadas às ciências farmacêuticas;Assistência e serviços farmacêuticos;True
