QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;Ciências Sociais e Humanas aplicadas à saúde e à Fisioterapia;Fisioterapia neurofuncional;;True
10;Saúde coletiva e políticas públicas de saúde;Fisioterapia em saúde da mulher, da criança e do idoso;;True
11;Fisioterapia pneumofuncional;;;True
12;Ciências Sociais e Humanas aplicadas à saúde e à Fisioterapia;Fisioterapia dermatofuncional;Saúde coletiva e políticas públicas de saúde;True
13;Fisioterapia neurofuncional;;;False
14;Fisioterapia neurofuncional;;;False
15;Ciências Sociais e Humanas aplicadas à saúde e à Fisioterapia;Saúde coletiva e políticas públicas de saúde;;True
16;Sistemas fisiológicos e suas disfunções na atenção fisioterapêutica;Fisioterapia traumato-ortopédica e esportiva;;True
17;Semiologia e métodos diagnósticos na atenção fisioterapêutica;Fisioterapia traumato-ortopédica e esportiva;;True
18;Recursos terapêuticos aquáticos;Fisioterapia traumato-ortopédica e esportiva;;True
19;Estrutura e função dos órgãos e tecidos;Cinesioterapia;Fisioterapia neurofuncional;True
20;Recursos terapêuticos manuais;Fisioterapia em reumatologia;;True
21;Deontologia, ética, bioética e história da Fisioterapia;;;True
22;Cinesioterapia;Fisioterapia cardiovascular;Saúde coletiva e políticas públicas de saúde;True
23;Estrutura e função dos órgãos e tecidos;Fisioterapia traumato-ortopédica e esportiva;Fisioterapia em saúde da mulher, da criança e do idoso;True
24;Recursos terapêuticos manuais;;;False
25;Eletrotermofototerapia;Fisioterapia em saúde da mulher, da criança e do idoso;;True
26;Fisioterapia neurofuncional;Tecnologia assistiva;;True
27;Ciências Sociais e Humanas aplicadas à saúde e à Fisioterapia;Deontologia, ética, bioética e história da Fisioterapia;Fisioterapia em saúde da mulher, da criança e do idoso;True
28;Ciências Sociais e Humanas aplicadas à saúde e à Fisioterapia;Deontologia, ética, bioética e história da Fisioterapia;;False
29;Sistemas fisiológicos e suas disfunções na atenção fisioterapêutica;Fisioterapia cardiovascular;Fisioterapia pneumofuncional;False
30;Sistemas fisiológicos e suas disfunções na atenção fisioterapêutica;Fisioterapia pneumofuncional;;True
31;;;;
32;;;;
33;;;;
34;;;;
35;;;;
