QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;As diversas dimensões da relação indivíduo/sociedade, contribuindo para a compreensão dos determinantes sociais, culturais, comportamentais, psicológicos, ambientais, éticos e legais;Medicina Veterinária Preventiva e Saúde Pública: planejamento em saúde animal, ambiental e pública, abrangendo epidemiologia, controle e profilaxia das enfermidades infectocontagiosas, parasitárias e zoonóticas, defesa e vigilância sanitária, saneamento ambiental, bioterismo, produção e controle de insumos biológicos;Administração Rural, Agronegócio e Extensão Rural;True
10;Bases moleculares e celulares inerentes à morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia, aplicados à compreensão dos processos normais e alterados da estrutura e função dos tecidos, órgãos, sistemas e aparelhos;Clínica Veterinária: patologia, clínica, cirurgia, obstetrícia e diagnóstico por imagem nos aspectos semiológicos e laboratoriais, visando a etiopatogenia, diagnóstico e execução dos procedimentos e/ou tratamentos das enfermidades de diferentes naturezas;Medicina Veterinária Preventiva e Saúde Pública: planejamento em saúde animal, ambiental e pública, abrangendo epidemiologia, controle e profilaxia das enfermidades infectocontagiosas, parasitárias e zoonóticas, defesa e vigilância sanitária, saneamento ambiental, bioterismo, produção e controle de insumos biológicos;True
11;Bases moleculares e celulares inerentes à morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia, aplicados à compreensão dos processos normais e alterados da estrutura e função dos tecidos, órgãos, sistemas e aparelhos;Clínica Veterinária: patologia, clínica, cirurgia, obstetrícia e diagnóstico por imagem nos aspectos semiológicos e laboratoriais, visando a etiopatogenia, diagnóstico e execução dos procedimentos e/ou tratamentos das enfermidades de diferentes naturezas;;True
12;Bases moleculares e celulares inerentes à morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia, aplicados à compreensão dos processos normais e alterados da estrutura e função dos tecidos, órgãos, sistemas e aparelhos;Clínica Veterinária: patologia, clínica, cirurgia, obstetrícia e diagnóstico por imagem nos aspectos semiológicos e laboratoriais, visando a etiopatogenia, diagnóstico e execução dos procedimentos e/ou tratamentos das enfermidades de diferentes naturezas;Medicina Veterinária Preventiva e Saúde Pública: planejamento em saúde animal, ambiental e pública, abrangendo epidemiologia, controle e profilaxia das enfermidades infectocontagiosas, parasitárias e zoonóticas, defesa e vigilância sanitária, saneamento ambiental, bioterismo, produção e controle de insumos biológicos;True
13;Bases moleculares e celulares inerentes à morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia, aplicados à compreensão dos processos normais e alterados da estrutura e função dos tecidos, órgãos, sistemas e aparelhos;As diversas dimensões da relação indivíduo/sociedade, contribuindo para a compreensão dos determinantes sociais, culturais, comportamentais, psicológicos, ambientais, éticos e legais;Clínica Veterinária: patologia, clínica, cirurgia, obstetrícia e diagnóstico por imagem nos aspectos semiológicos e laboratoriais, visando a etiopatogenia, diagnóstico e execução dos procedimentos e/ou tratamentos das enfermidades de diferentes naturezas;True
14;Bases moleculares e celulares inerentes à morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia, aplicados à compreensão dos processos normais e alterados da estrutura e função dos tecidos, órgãos, sistemas e aparelhos;Clínica Veterinária: patologia, clínica, cirurgia, obstetrícia e diagnóstico por imagem nos aspectos semiológicos e laboratoriais, visando a etiopatogenia, diagnóstico e execução dos procedimentos e/ou tratamentos das enfermidades de diferentes naturezas;Medicina Veterinária Preventiva e Saúde Pública: planejamento em saúde animal, ambiental e pública, abrangendo epidemiologia, controle e profilaxia das enfermidades infectocontagiosas, parasitárias e zoonóticas, defesa e vigilância sanitária, saneamento ambiental, bioterismo, produção e controle de insumos biológicos;True
15;Bases moleculares e celulares inerentes à morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia, aplicados à compreensão dos processos normais e alterados da estrutura e função dos tecidos, órgãos, sistemas e aparelhos;Medicina Veterinária Preventiva e Saúde Pública: planejamento em saúde animal, ambiental e pública, abrangendo epidemiologia, controle e profilaxia das enfermidades infectocontagiosas, parasitárias e zoonóticas, defesa e vigilância sanitária, saneamento ambiental, bioterismo, produção e controle de insumos biológicos;Clínica Veterinária: patologia, clínica, cirurgia, obstetrícia e diagnóstico por imagem nos aspectos semiológicos e laboratoriais, visando a etiopatogenia, diagnóstico e execução dos procedimentos e/ou tratamentos das enfermidades de diferentes naturezas;True
16;Clínica Veterinária: patologia, clínica, cirurgia, obstetrícia e diagnóstico por imagem nos aspectos semiológicos e laboratoriais, visando a etiopatogenia, diagnóstico e execução dos procedimentos e/ou tratamentos das enfermidades de diferentes naturezas;;;True
17;Bases moleculares e celulares inerentes à morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia, aplicados à compreensão dos processos normais e alterados da estrutura e função dos tecidos, órgãos, sistemas e aparelhos;Clínica Veterinária: patologia, clínica, cirurgia, obstetrícia e diagnóstico por imagem nos aspectos semiológicos e laboratoriais, visando a etiopatogenia, diagnóstico e execução dos procedimentos e/ou tratamentos das enfermidades de diferentes naturezas;Produção Animal: exploração, gerenciamento e administração de sistemas produtivos sustentáveis de criação, envolvendo manejo, nutrição, alimentação e rastreabilidade, em consonância com os conceitos de bem estar animal;True
18;Bases moleculares e celulares inerentes à morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia, aplicados à compreensão dos processos normais e alterados da estrutura e função dos tecidos, órgãos, sistemas e aparelhos;Inspeção dos Produtos de Origem Animal: inspeção higiênica, sanitária e tecnológica dos produtos de origem animal e seus derivados e rastreabilidade;Tecnologia dos Produtos de Origem Animal: classificação, processamento, padronização e conservação de produtos de origem animal e seus derivados e rastreabilidade;False
