QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;Clínica odontológica integrada do adulto;Ciências Biológicas e da Saúde;;True
10;Odontologia em Saúde Coletiva;;;True
11;Ciências Humanas e Sociais;;;True
12;Ciências Biológicas e da Saúde;Clínica odontológica integrada da infância e da adolescência;;False
13;Clínica odontológica integrada do idoso;Odontologia em Saúde Coletiva;;False
14;Clínica odontológica integrada do adulto;;;True
15;Ciências Biológicas e da Saúde;Clínica odontológica integrada da infância e da adolescência;;True
16;Clínica odontológica integrada do adulto;Clínica odontológica integrada do idoso;;True
17;Ciências Humanas e Sociais;Clínica odontológica integrada do adulto;;False
18;Ciências Biológicas e da Saúde;Clínica odontológica integrada do adulto;;True
19;Propedêutica clínica;Clínica odontológica integrada da infância e da adolescência;;True
20;Propedêutica clínica;Clínica odontológica integrada do adulto;;True
21;Clínica odontológica integrada da infância e da adolescência;;;True
22;Clínica odontológica integrada do idoso;;;True
23;Ciências Biológicas e da Saúde;;;True
24;Clínica odontológica integrada do adulto;Clínica odontológica integrada do idoso;;True
25;Clínica odontológica integrada da infância e da adolescência;;;True
26;Clínica odontológica integrada do adulto;;;True
27;Ciências Humanas e Sociais;Clínica odontológica integrada da infância e da adolescência;;False
28;Clínica odontológica integrada do adulto;;;True
29;Clínica odontológica integrada do adulto;;;True
30;Odontologia em Saúde Coletiva;;;True
31;Clínica odontológica integrada da infância e da adolescência;;;True
32;Clínica odontológica integrada do idoso;Odontologia em Saúde Coletiva;;True
33;Odontologia em Saúde Coletiva;;;True
34;Clínica odontológica integrada do adulto;;;True
35;Odontologia em Saúde Coletiva;Clínica odontológica integrada da infância e da adolescência;;True
