QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;Instrumentalidade do Serviço Social: dimensão teórico-metodológica, ético-política e técnico-operativa;;;True
10;Processos de gestão na organização do trabalho e nas políticas sociais: planejamento, coordenação, execução, monitoramento e avaliação;;;False
11;Matrizes clássicas do pensamento social, econômico, filosófico e político;Herança colonial, escravista e patriarcal na formação social, política e econômica do Brasil;;False
12;Produção e reprodução das relações sociais;Estado, questão social e sua relação com o Serviço Social;;True
13;Fundo público, esfera pública e controle democrático;;;False
14;Políticas setoriais e de segmentos, legislação social e direitos e garantias fundamentais de cidadania;;;True
15;Políticas sociais, desenvolvimento do sistema brasileiro de proteção social e a contrarreforma do Estado;Indicadores sociais e sistemas de informação sociais, demográficas, ambientais, políticas, econômicas e territoriais;;True
16;Indicadores sociais e sistemas de informação sociais, demográficas, ambientais, políticas, econômicas e territoriais;;;True
17;Transformações contemporâneas no padrão de acumulação e suas implicações nos mecanismos de regulação social e socioambientais;Produção e reprodução das relações sociais;;True
18;Lutas, movimentos sociais, identidades e marcadores sociais de classe, religião, gênero, sexualidade, acessibilidade, geracionais e étnico-raciais;;;False
19;O(A) assistente social como trabalhador(a) assalariado(a) e sua inserção nos diferentes espaços sócio-ocupacionais;Produção de conhecimento e projetos de pesquisa;;True
20;Políticas sociais, desenvolvimento do sistema brasileiro de proteção social e a contrarreforma do Estado;;;True
21;Transformações contemporâneas no padrão de acumulação e suas implicações nos mecanismos de regulação social e socioambientais;;;True
22;Instrumentalidade do Serviço Social: dimensão teórico-metodológica, ético-política e técnico-operativa;;;True
23;Conservadorismo e questões éticas contemporâneas;;;False
24;Herança colonial, escravista e patriarcal na formação social, política e econômica do Brasil;;;True
25;Fundamentos históricos, teóricos, metodológicos, regulamentação profissional e o Projeto Ético-Político do Serviço Social;;;True
26;Fundamentos ontológicos da ética e suas implicações no exercício profissional do Serviço Social;Conservadorismo e questões éticas contemporâneas;;True
27;Análise do sistema capitalista segundo as perspectivas liberal, marxista, socialdemocrata e neoliberal;Lutas, movimentos sociais, identidades e marcadores sociais de classe, religião, gênero, sexualidade, acessibilidade, geracionais e étnico-raciais;;True
28;Trabalho como categoria fundante da sociabilidade humana;;;True
29;Análise do sistema capitalista segundo as perspectivas liberal, marxista, socialdemocrata e neoliberal;Fundamentos históricos, teóricos, metodológicos, regulamentação profissional e o Projeto Ético-Político do Serviço Social;;True
30;Transformações contemporâneas no padrão de acumulação e suas implicações nos mecanismos de regulação social e socioambientais;;;False
31;Fundamentos históricos, teóricos, metodológicos, regulamentação profissional e o Projeto Ético-Político do Serviço Social;;;True
32;Políticas setoriais e de segmentos, legislação social e direitos e garantias fundamentais de cidadania;Conservadorismo e questões éticas contemporâneas;;True
33;Fundamentos históricos, teóricos, metodológicos, regulamentação profissional e o Projeto Ético-Político do Serviço Social;Produção de conhecimento e projetos de pesquisa;;False
34;Transformações contemporâneas no padrão de acumulação e suas implicações nos mecanismos de regulação social e socioambientais;;;True
35;Produção e reprodução das relações sociais;Indicadores sociais e sistemas de informação sociais, demográficas, ambientais, políticas, econômicas e territoriais;;False
