QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;Expressão Gráfica;Mecânica dos Sólidos;;True
10;Economia;Ciências do Ambiente;;True
11;Administração;Estratégia e Organização;;False
12;Matemática e Estatística;Física;;True
13;Ciência e Tecnologia dos Materiais;Fenômenos de Transporte;;True
14;Expressão Gráfica;Fenômenos de Transporte;;False
15;Matemática e Estatística;Informática;;True
16;Economia;Eletricidade Aplicada;;True
17;Estudo de Viabilidade Técnica, Econômica e Ambiental;Matemática e Estatística;;False
18;Mecânica dos Sólidos;Matemática e Estatística;Física;False
19;Higiene na Indústria de Alimentos;Legislação de alimentos;Microbiologia de Alimentos;True
20;Microbiologia de Alimentos;Operações unitárias;Processos de conservação;True
21;Gestão e Controle de Qualidade;Higiene na Indústria de Alimentos;;True
22;Análise Sensorial;Matemática e Estatística;Desenvolvimento de produtos;True
23;Higiene na Indústria de Alimentos;Tecnologia de alimentos de origem animal e vegetal;;True
24;Modelagem, Análise e Simulação de Sistemas;Instrumentação, Controle e Automação;;False
25;Processos de conservação;Físico-química de alimentos;Operações unitárias;True
26;Bioengenharia e biotecnologia de alimentos;Bioquímica de Alimentos;Operações unitárias;False
27;Termodinâmica Aplicada;Sistemas Térmicos;Processos de conservação;True
28;Química de alimentos;Tecnologia de alimentos de origem animal e vegetal;;True
29;Embalagens;Química Analítica e Instrumental;;True
30;Processos de conservação;Sistemas Térmicos;Operações unitárias;True
31;Operações unitárias;Termodinâmica aplicada;;False
32;Bioquímica de Alimentos;Química de alimentos;;True
33;Operações unitárias;Tecnologias limpas e novas tecnologias;Processos de conservação;True
34;Microbiologia de Alimentos;Sistemas térmicos;Processos de conservação;True
35;Bioengenharia e biotecnologia de alimentos;Tecnologia de alimentos de origem animal e vegetal;Processos de conservação;True
