QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;Expressão Gráfica;Mecânica dos Sólidos;;False
10;Economia;Ciências do Ambiente;;True
11;Administração;Estratégia e Organização;;False
12;Matemática e Estatística;Física;;True
13;Ciência e Tecnologia dos Materiais;Fenômenos de Transporte;;True
14;Expressão Gráfica;Fenômenos de Transporte;;True
15;Matemática e Estatística;Informática;;True
16;Economia;Eletricidade Aplicada;;True
17;Estudo de Viabilidade Técnica, Econômica e Ambiental;Matemática e Estatística;;False
18;Mecânica dos Sólidos;Matemática e Estatística;Física;True
19;Conversão de energia;Materiais elétricos;Circuitos elétricos;True
20;Eletromagnetismo;Materiais elétricos;;False
21;Dispositivos semicondutores;Eletrônica de potência;;True
22;Análise, modelagem e simulação de sistemas lineares;Circuitos elétricos;;True
23;Circuitos lógicos;Eletrônica digital;;True
24;Fundamentos de sistemas elétricos de potência;;;True
25;Gestão e eficiência energética;;;True
26;Gestão e eficiência energética;Máquinas elétricas;;True
27;Eletromagnetismo;Máquinas elétricas;;True
28;Redes de comunicação de dados;;;True
29;Instrumentação eletrônica;Eletrônica analógica;;True
30;Eletrônica analógica;;;True
31;Eletrônica de potência;;;True
32;Princípios de comunicações;Redes de comunicação de dados;;False
33;Sistemas de controle;;;True
34;Máquinas elétricas;Eletrônica de potência;;True
35;Gestão e eficiência energética;Instalações elétricas;;True
