QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;;;;False
10;Geoprocessamento aplicado à Engenharia Florestal;;;True
11;Anatomia e química da madeira;;;True
12;Propriedades da madeira;;;True
13;Sistemas e técnicas silviculturais;;;True
14;Estrada, colheita e transporte florestal;;;True
15;Manejo de pragas e patologia florestal;;;True
16;Estrada, colheita e transporte florestal;;;True
17;Dendrologia;;;False
18;Dendrometria e inventário florestal;;;False
19;Geoprocessamento aplicado à Engenharia Florestal;;;True
20;Incêndios florestais;;;True
21;Produtos florestais madeireiros e não madeireiros;;;True
22;Ecologia e ecossistemas florestais;;;True
23;Política, projetos e legislação florestal;;;False
24;Economia e administração florestal;;;True
25;Dendrometria e inventário florestal;;;True
26;Sistemas e técnicas silviculturais;;;False
27;Melhoramento e biotecnologia florestal;;;False
28;Manejo florestal;;;True
29;Gestão de recursos naturais renováveis;;;True
30;Recuperação de áreas degradadas;;;True
31;Sistemas e técnicas silviculturais;;;True
32;Política, projetos e legislação florestal;;;True
33;Propriedades da madeira;;;False
34;Ecologia e ecossistemas florestais;;;True
35;Manejo florestal;;;True
