QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;Expressão Gráfica;Mecânica dos Sólidos;;True
10;Economia;Ciências do Ambiente;;True
11;Administração;Estratégia e Organização;;False
12;Matemática e Estatística;Física;;True
13;Ciência e Tecnologia dos Materiais;Fenômenos de Transporte;;True
14;Expressão Gráfica;Fenômenos de Transporte;;True
15;Matemática e Estatística;Informática;;True
16;Economia;Eletricidade Aplicada;;True
17;Estudo de Viabilidade Técnica, Econômica e Ambiental;Matemática e Estatística;;False
18;Mecânica dos Sólidos;Matemática e Estatística;Física;True
19;Termodinâmica;Sistemas térmicos e fluidos mecânicos;;True
20;Sistemas hidráulicos e pneumáticos;;;True
21;Termodinâmica;Sistemas térmicos e fluidos mecânicos;;True
22;Máquinas de fluxo;;;True
23;Materiais de construção mecânica;;;True
24;Processos de fabricação;;;True
25;Metrologia;;;True
26;Instrumentação e controle;;;True
27;Mecânica geral;Sistemas mecânicos;;False
28;Projeto de máquinas;Sistemas mecânicos;;True
29;Dinâmica de sistemas mecânicos;;;True
30;Mecânica geral;;;False
31;Mecânica geral;;;True
32;Processos de fabricação;;;True
33;;;;False
34;Segurança do trabalho;Manutenção;;True
35;Termodinâmica;Sistemas térmicos e fluidos mecânicos;;True
