QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;Construção Civil;Matemática e Estatística aplicadas à Engenharia Civil;;True
10;Construção Civil;;;True
11;Geotecnia;;;True
12;Construção Civil;Administração e Economia aplicadas à Engenharia Civil;;False
13;Construção Civil;;;True
14;Geotecnia;;;True
15;Geotecnia;Ciências do Ambiente;;True
16;Construção Civil;Eletricidade aplicada à Engenharia Civil;;True
17;Geotecnia;;;True
18;Geotecnia;;;True
19;Geotecnia;;;True
20;Recursos Hídricos e Saneamento;;;True
21;Recursos Hídricos e Saneamento;;;False
22;Recursos Hídricos e Saneamento;Fenômenos de Transporte;;False
23;Recursos Hídricos e Saneamento;;;False
24;Recursos Hídricos e Saneamento;;;True
25;Transportes;;;False
26;Transportes;Expressão Gráfica;;True
27;Transportes;;;True
28;Transportes;;;True
29;Transportes;;;True
30;Estruturas;;;True
31;Estruturas;;;False
32;Estruturas;;;False
33;Estruturas;;;True
34;Estruturas;;;True
35;Mecânica dos Sólidos;Ciência e Tecnologia dos Materiais;;True
