QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;Matemática e estatística;;;True
10;Ciência e tecnologia dos materiais;;;False
11;Ciência e tecnologia dos materiais;Mecânica dos sólidos;;True
12;Administração;Projeto e segurança de processos;;True
13;Química;;;True
14;Química;Balanços de massa e energia;;True
15;Economia;Projeto e segurança de processos;;True
16;Engenharia de bioprocessos;Engenharia das reações químicas;;False
17;Balanços de massa e energia;;;True
18;Matemática e estatística;Transferência de quantidade de movimento, calor e massa;;True
19;Engenharia das reações químicas;;;True
20;Engenharia das reações químicas;;;True
21;Engenharia de bioprocessos;;;False
22;Engenharia de meio ambiente;Operações unitárias de transferência de quantidade de movimento, calor e massa;;True
23;Modelagem, simulação, otimização e controle de processos;;;True
24;Modelagem, simulação, otimização e controle de processos;Operações unitárias de transferência de quantidade de movimento, calor e massa;;False
25;Projeto e segurança de processos;;;False
26;Operações unitárias de transferência de quantidade de movimento, calor e massa;;;True
27;Química;Termodinâmica;;True
28;Termodinâmica;;;True
29;Operações unitárias de transferência de quantidade de movimento, calor e massa;Termodinâmica;;True
30;Balanços de massa e energia;;;True
31;Transferência de quantidade de movimento, calor e massa;;;True
32;Termodinâmica;;;False
33;Transferência de quantidade de movimento, calor e massa;;;True
34;Engenharia das reações químicas;;;True
35;Engenharia das reações químicas;Engenharia de bioprocessos;;True
