QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;Clínica Médica;;;True
10;Cirurgia;;;True
11;Urgência e Emergência;Saúde Mental;;False
12;Cirurgia;Urgência e Emergência;;True
13;Clínica Médica;Medicina de Família e Comunidade;;True
14;Clínica Médica;Pediatria;Medicina de Família e Comunidade;True
15;Pediatria;;;True
16;Ginecologia e Obstetrícia;Pediatria;;True
17;Clínica Médica;;;True
18;Saúde Mental;;;True
19;Clínica Médica;;;True
20;Saúde Mental;;;True
21;Clínica Médica;Pediatria;Urgência e Emergência;True
22;Cirurgia;;;False
23;Clínica Médica;Medicina de Família e Comunidade;;True
24;Medicina de Família e Comunidade;;;True
25;Urgência e Emergência;;;True
26;Cirurgia;;;True
27;Ginecologia e Obstetrícia;Medicina de Família e Comunidade;;True
28;Ginecologia e Obstetrícia;Medicina de Família e Comunidade;;False
29;Clínica Médica;Urgência e Emergência;;True
30;Medicina de Família e Comunidade;;;True
31;Clínica Médica;Medicina de Família e Comunidade;;True
32;Clínica Médica;Medicina de Família e Comunidade;;True
33;Pediatria;Medicina de Família e Comunidade;Saúde Coletiva;True
34;Saúde Coletiva;;;True
35;Saúde Coletiva;;;True
